Group,Individual_No,Sex,Reproductive_female_in_pair,Days_after_adult_emergence,Body_weight_mg
A,13,male,yes,15,19.1
A,14,male,no,15,20
A,15,male,yes,15,16.9
A,16,female,yes,15,24.9
A,17,female,yes,15,26.1
A,18,female,yes,15,27.2
A,19,female,no,15,22
A,20,female,yes,15,26.5
A,21,male,yes,15,15.6
A,22,male,yes,15,15.8
A,23,male,no,15,16
A,24,male,no,15,NA
A,25,male,no,15,NA
A,26,female,yes,15,24.1
A,27,female,yes,15,25
A,28,female,no,15,20.6
A,29,female,no,15,20.4
A,30,female,no,15,22.2
A,31,male,yes,15,15.6
A,32,female,yes,15,18.9
A,33,female,yes,15,20.9
A,34,female,no,15,21
A,35,female,no,15,NA
A,36,male,no,15,NA
A,37,male,yes,15,15.2
A,38,male,no,15,17.4
A,39,male,yes,15,16.1
A,40,male,no,15,17.3
A,41,female,yes,15,NA
A,42,female,yes,15,21.4
A,43,female,no,15,19.3
A,44,male,no,15,NA
A,45,male,no,15,15.4
A,46,male,yes,15,13.4
A,47,male,no,15,16.1
A,48,female,no,15,20.9
A,49,female,yes,15,19.9
A,50,female,no,15,21
A,51,male,no,15,17.6
A,52,male,no,15,15.9
A,53,male,no,15,15.1
A,54,male,no,15,15.8
A,55,male,no,15,16.6
A,56,female,no,15,25.8
A,57,female,no,15,22.8
A,58,female,no,15,17.2
A,59,female,no,15,20.4
A,60,female,no,15,21
A,61,male,no,15,15.2
A,62,male,no,15,17.1
A,63,male,no,15,17.6
A,64,male,yes,15,14.8
A,65,male,no,15,15.6
A,66,female,no,15,21.6
A,67,female,no,15,20
A,68,female,no,15,22.3
A,69,female,yes,15,22.9
A,70,female,no,15,21.8
A,71,male,no,15,15
A,72,male,no,15,15.7
A,73,male,no,15,15.7
A,74,male,yes,15,14.7
A,75,male,no,15,14.8
A,76,female,no,15,23.3
A,77,female,no,15,24.4
A,78,female,no,15,19.2
A,79,female,yes,15,18.2
A,80,female,no,15,22.2
B,1,male,yes,15,16.6
B,2,female,yes,15,23.4
B,3,male,no,15,17.2
B,4,female,no,15,23.3
B,5,female,no,15,21.8
B,6,female,no,15,22.1
B,7,female,yes,15,16.9
B,8,male,no,15,18.3
B,9,male,no,15,15.1
B,10,female,no,15,21.7
B,11,female,no,15,21.1
B,12,male,no,15,17.5
B,13,male,no,15,15.6
B,14,male,yes,15,18.5
B,15,male,no,15,18.7
B,16,male,yes,15,15.5
B,17,male,yes,15,16
B,18,male,yes,15,17.6
B,19,female,no,15,28
B,20,female,yes,15,24.6
B,21,female,yes,15,21.9
B,22,female,yes,15,23.4
B,23,male,yes,15,16.9
B,24,male,no,15,17
B,25,male,no,15,18.2
B,26,male,yes,15,15.9
B,27,male,no,15,16.8
B,28,male,no,15,16.1
B,29,female,yes,15,21.8
B,30,female,no,15,23.3
B,31,female,no,15,20.8
B,32,female,yes,15,23.3
B,33,female,no,15,22.9
B,34,female,no,15,19.6
B,35,male,yes,15,15.1
B,36,male,yes,15,16.4
B,37,male,no,15,16.7
B,38,male,no,15,15.8
B,39,female,yes,15,16.6
B,40,female,yes,15,21.6
B,41,female,no,15,23.2
B,42,female,no,15,21.2
B,43,male,no,15,16.7
B,44,male,no,15,16.5
B,45,male,no,15,16.8
B,46,male,no,15,14.8
B,47,female,no,15,22.9
B,48,female,no,15,22
B,49,female,no,15,21.8
B,50,female,no,15,20.4
B,51,male,no,15,16.6
B,52,male,yes,15,15
B,53,male,no,15,17.8
B,54,female,no,15,20.8
B,55,female,yes,15,22.6
B,56,female,no,15,22.3
B,57,male,yes,15,17.5
B,58,male,no,15,13.8
B,59,male,no,15,17.3
B,60,female,yes,15,21.4
B,61,female,no,15,21.3
B,62,female,no,15,22.4
B,63,male,yes,15,14.4
B,64,male,no,15,15.5
B,65,male,no,15,14.5
B,66,female,yes,15,20.8
B,67,female,no,15,20.9
B,68,female,no,15,20.7
B,69,male,no,15,15.2
B,70,male,yes,15,14.7
B,71,male,no,15,14.9
B,72,female,no,15,20.1
B,73,female,yes,15,25.8
B,74,female,no,15,21.6
B,75,male,no,15,14.8
B,76,male,no,15,16.3
B,77,female,no,15,23.5
B,78,female,no,15,23.4
B,79,male,no,15,17.7
B,80,female,no,15,22.1
C,1,female,yes,15,20.5
C,2,female,yes,15,20
C,3,female,yes,15,21.3
C,4,male,yes,15,16.3
C,5,male,yes,15,16
C,6,male,yes,15,15.4
C,7,male,no,15,14.7
C,8,female,no,15,23.1
C,9,male,yes,15,15.8
C,10,male,yes,15,15.6
C,11,male,yes,15,14.2
C,12,male,yes,15,16.6
C,13,male,no,15,NA
C,14,male,no,15,14.4
C,15,female,yes,15,25
C,16,female,yes,15,22.8
C,17,female,yes,15,20.6
C,18,female,yes,15,16.6
C,19,female,no,15,19.1
C,20,female,no,15,21.8
C,21,male,no,15,16.8
C,22,female,no,15,23.5
C,23,female,no,15,22.5
C,24,female,yes,15,20.4
C,25,female,no,15,22.8
C,26,male,yes,15,16.3
C,27,male,no,15,14.4
C,28,male,no,15,17.8
C,29,male,no,15,16.7
C,30,male,no,15,16.2
C,31,female,yes,15,20.8
C,32,female,no,15,19.9
C,33,female,no,15,23.5
C,34,female,no,15,22.7
C,35,female,no,15,20.4
C,36,male,yes,15,14.5
C,37,male,no,15,15.8
C,38,male,no,15,NA
C,39,male,no,15,17.3
C,40,male,no,15,15.6
C,41,male,no,15,14.6
C,42,female,no,15,20.7
C,43,female,no,15,18.6
C,44,female,yes,15,18
C,45,male,yes,15,17.4
C,46,male,yes,15,15.6
C,47,male,no,15,18.5
C,48,female,yes,15,19.7
C,49,female,yes,15,22.4
C,50,female,no,15,22.6
C,51,male,no,15,13.5
C,52,male,no,15,15.2
C,53,male,yes,15,15
C,54,male,no,15,15.4
C,55,male,no,15,15.4
C,56,female,no,15,20.1
C,57,female,no,15,20.5
C,58,female,yes,15,20.4
C,59,female,no,15,22.3
C,60,female,no,15,19.5
C,61,male,no,15,17.1
C,62,male,no,15,15.5
C,63,male,no,15,NA
C,64,male,yes,15,16.5
C,65,male,no,15,13.3
C,66,female,no,15,22.2
C,67,female,no,15,21.4
C,68,female,yes,15,20.5
C,69,female,no,15,NA
C,70,female,no,15,21.2
C,71,male,no,15,16.7
C,72,male,no,15,14.7
C,73,male,no,15,16.7
C,74,male,no,15,15.1
C,75,male,yes,15,16.8
C,76,female,no,15,18.2
C,77,female,no,15,19.7
C,78,female,no,15,19.4
C,79,female,no,15,20.5
C,80,female,yes,15,20.1
D,1,female,no,15,25
D,2,male,no,15,16.7
D,3,male,no,15,16.6
D,4,female,no,15,24
D,5,male,no,15,17.5
D,6,male,no,15,15.9
D,7,male,no,15,20.3
D,8,male,no,15,17
D,9,male,no,15,17
D,10,female,no,15,22.8
D,11,female,no,15,22
D,12,female,no,15,20.6
D,13,female,no,15,22.6
D,14,male,yes,15,18.1
D,15,male,yes,15,18
D,16,female,no,15,20.2
D,17,female,yes,15,21.5
D,18,female,yes,15,19.6
D,19,male,no,15,17
D,20,male,no,15,16.1
D,21,female,no,15,23.3
D,22,female,no,15,24
D,23,male,no,15,15.2
D,24,male,yes,15,16.1
D,25,male,yes,15,15.7
D,26,female,no,15,17.4
D,27,female,yes,15,19.7
D,28,female,yes,15,24.2
D,29,male,no,15,16.6
D,30,female,no,15,22.7
D,31,male,yes,15,16.8
D,32,male,no,15,17.7
D,33,female,yes,15,21.2
D,34,female,no,15,18.8
D,35,male,no,15,15.1
D,36,male,no,15,14.4
D,37,male,no,15,14.4
D,38,male,no,15,15
D,39,male,no,15,16
D,40,female,no,15,17.7
D,41,female,no,15,18.4
D,42,female,no,15,21.4
D,43,female,no,15,NA
D,44,female,no,15,18.1
D,45,male,no,15,14.8
D,46,male,no,15,15.3
D,47,female,no,15,NA
D,48,female,no,15,20
D,49,male,no,15,12.7
D,50,male,no,15,16.2
D,51,female,no,15,18.9
D,52,female,no,15,20
D,53,male,yes,15,16.7
D,54,male,no,15,NA
D,55,male,no,15,17
D,56,female,yes,15,21
D,57,female,no,15,NA
D,58,female,no,15,21
D,59,male,yes,15,16.8
D,60,male,no,15,15.4
D,61,male,no,15,15.4
D,62,female,yes,15,22
D,63,female,no,15,23
D,64,female,no,15,19.8
D,65,male,no,15,15.5
D,66,male,no,15,16.9
D,67,male,no,15,16.4
D,68,female,no,15,21.1
D,69,female,no,15,21.5
D,70,female,no,15,19.9
D,71,male,no,15,14.8
D,72,male,no,15,14.9
D,73,male,no,15,15.5
D,74,male,no,15,15.3
D,75,female,no,15,18.7
D,76,female,no,15,18.3
D,77,female,no,15,18
D,78,female,no,15,18.9
D,79,male,no,15,15.2
D,80,female,no,15,22.3
A,1,male,yes,20,14.7
A,2,female,yes,20,19.6
A,3,female,no,20,20.2
A,4,male,no,20,13
A,5,male,no,20,14.5
A,6,male,no,20,NA
A,7,male,yes,20,15.9
A,8,female,no,20,19.4
A,9,female,no,20,20.3
A,10,female,yes,20,21.7
A,11,male,yes,20,15.7
A,12,male,yes,20,18.2
A,13,male,yes,20,16
A,14,male,no,20,16.7
A,15,male,yes,20,13.4
A,16,female,yes,20,21.2
A,17,female,yes,20,21.6
A,18,female,yes,20,22.7
A,19,female,no,20,19.8
A,20,female,yes,20,23.5
A,21,male,yes,20,14.9
A,22,male,yes,20,14.6
A,23,male,no,20,15.1
A,24,male,no,20,14.2
A,25,male,no,20,16.7
A,26,female,yes,20,24.7
A,27,female,yes,20,24.4
A,28,female,no,20,19.2
A,29,female,no,20,24.8
A,30,female,no,20,21.4
A,31,male,yes,20,14.9
A,32,female,yes,20,23
A,33,female,yes,20,20.6
A,34,female,no,20,21.2
A,35,female,no,20,23.5
A,36,male,no,20,17.7
A,37,male,yes,20,15.3
A,38,male,no,20,17
A,39,male,yes,20,15.3
A,40,male,no,20,15.8
A,41,female,yes,20,25
A,42,female,yes,20,23.8
A,43,female,no,20,18.7
A,44,male,no,20,NA
A,45,male,no,20,14.6
A,46,male,yes,20,16.2
A,47,male,no,20,16
A,48,female,no,20,21.2
A,49,female,yes,20,21.1
A,50,female,no,20,NA
A,51,male,no,20,17.3
A,52,male,no,20,14.5
A,53,male,no,20,14.6
A,54,male,no,20,15.6
A,55,male,no,20,16.3
A,56,female,no,20,21.9
A,57,female,no,20,22.1
A,58,female,no,20,19.4
A,59,female,no,20,19.5
A,60,female,no,20,21.5
A,61,male,no,20,15.5
A,62,male,no,20,17
A,63,male,no,20,17.2
A,64,male,yes,20,16.3
A,65,male,no,20,17.3
A,66,female,no,20,21.2
A,67,female,no,20,19.5
A,68,female,no,20,22.9
A,69,female,yes,20,24.5
A,70,female,no,20,22.4
A,71,male,no,20,15.3
A,72,male,no,20,15.5
A,73,male,no,20,14.7
A,74,male,yes,20,14.1
A,75,male,no,20,15.1
A,76,female,no,20,21.2
A,77,female,no,20,23.8
A,78,female,no,20,19.5
A,79,female,yes,20,19.3
A,80,female,no,20,18.9
B,1,male,yes,20,15.5
B,2,female,yes,20,20.8
B,3,male,no,20,17.9
B,4,female,no,20,22.4
B,5,female,no,20,21.8
B,6,female,no,20,21.6
B,7,female,yes,20,19.2
B,8,male,no,20,17.1
B,9,male,no,20,14.7
B,10,female,no,20,20.5
B,11,female,no,20,19.5
B,12,male,no,20,17.2
B,13,male,no,20,14.8
B,14,male,yes,20,16.5
B,15,male,no,20,16.1
B,16,male,yes,20,13.9
B,17,male,yes,20,14.8
B,18,male,yes,20,16.4
B,19,female,no,20,23.5
B,20,female,yes,20,22.3
B,21,female,yes,20,23.4
B,22,female,yes,20,22.7
B,23,male,yes,20,16.9
B,24,male,no,20,15.7
B,25,male,no,20,17.4
B,26,male,yes,20,14
B,27,male,no,20,15.6
B,28,male,no,20,16.4
B,29,female,yes,20,21.9
B,30,female,no,20,23
B,31,female,no,20,20.6
B,32,female,yes,20,23.8
B,33,female,no,20,23.4
B,34,female,no,20,18.3
B,35,male,yes,20,15.2
B,36,male,yes,20,15.2
B,37,male,no,20,17.1
B,38,male,no,20,14.1
B,39,female,yes,20,18.8
B,40,female,yes,20,22.2
B,41,female,no,20,22
B,42,female,no,20,20.3
B,43,male,no,20,15.4
B,44,male,no,20,15.5
B,45,male,no,20,15.9
B,46,male,no,20,14.3
B,47,female,no,20,22.1
B,48,female,no,20,21.1
B,49,female,no,20,21.5
B,50,female,no,20,20
B,51,male,no,20,15.8
B,52,male,yes,20,14.9
B,53,male,no,20,16.5
B,54,female,no,20,21
B,55,female,yes,20,23.8
B,56,female,no,20,21.7
B,57,male,yes,20,17.1
B,58,male,no,20,14.8
B,59,male,no,20,16.5
B,60,female,yes,20,23.5
B,61,female,no,20,21.6
B,62,female,no,20,20.9
B,63,male,yes,20,14.3
B,64,male,no,20,15.6
B,65,male,no,20,14.5
B,66,female,yes,20,21.5
B,67,female,no,20,21.1
B,68,female,no,20,20.6
B,69,male,no,20,15.8
B,70,male,yes,20,15
B,71,male,no,20,15.2
B,72,female,no,20,20.6
B,73,female,yes,20,25.4
B,74,female,no,20,21.5
B,75,male,no,20,13.5
B,76,male,no,20,15.1
B,77,female,no,20,21.1
B,78,female,no,20,20.6
B,79,male,no,20,16.4
B,80,female,no,20,21.2
C,1,female,yes,20,21.7
C,2,female,yes,20,20.6
C,3,female,yes,20,18.4
C,4,male,yes,20,15.2
C,5,male,yes,20,16
C,6,male,yes,20,12.9
C,7,male,no,20,12.8
C,8,female,no,20,19.6
C,9,male,yes,20,14.4
C,10,male,yes,20,15.5
C,11,male,yes,20,14.6
C,12,male,yes,20,13.9
C,13,male,no,20,15.5
C,14,male,no,20,14.8
C,15,female,yes,20,23.1
C,16,female,yes,20,21.3
C,17,female,yes,20,21.3
C,18,female,yes,20,18.8
C,19,female,no,20,17.9
C,20,female,no,20,21.1
C,21,male,no,20,15.4
C,22,female,no,20,21
C,23,female,no,20,19.3
C,24,female,yes,20,19.1
C,25,female,no,20,18.8
C,26,male,yes,20,14.3
C,27,male,no,20,14.9
C,28,male,no,20,15.1
C,29,male,no,20,15.3
C,30,male,no,20,16
C,31,female,yes,20,19.7
C,32,female,no,20,18.3
C,33,female,no,20,19.3
C,34,female,no,20,20.6
C,35,female,no,20,19.3
C,36,male,yes,20,15.1
C,37,male,no,20,13.8
C,38,male,no,20,NA
C,39,male,no,20,15.2
C,40,male,no,20,15.1
C,41,male,no,20,13.5
C,42,female,no,20,17.8
C,43,female,no,20,18.1
C,44,female,yes,20,19.2
C,45,male,yes,20,15.3
C,46,male,yes,20,14.1
C,47,male,no,20,16.9
C,48,female,yes,20,20.3
C,49,female,yes,20,20.3
C,50,female,no,20,18.4
C,51,male,no,20,13
C,52,male,no,20,14.6
C,53,male,yes,20,14.3
C,54,male,no,20,13.9
C,55,male,no,20,15.3
C,56,female,no,20,19.2
C,57,female,no,20,19.1
C,58,female,yes,20,21.7
C,59,female,no,20,19.9
C,60,female,no,20,19.2
C,61,male,no,20,16.3
C,62,male,no,20,14.5
C,63,male,no,20,NA
C,64,male,yes,20,14.7
C,65,male,no,20,14.3
C,66,female,no,20,20
C,67,female,no,20,19.8
C,68,female,yes,20,21.7
C,69,female,no,20,NA
C,70,female,no,20,21.2
C,71,male,no,20,16.6
C,72,male,no,20,14.2
C,73,male,no,20,15.2
C,74,male,no,20,13.5
C,75,male,yes,20,15.5
C,76,female,no,20,18.9
C,77,female,no,20,18.9
C,78,female,no,20,19
C,79,female,no,20,20.1
C,80,female,yes,20,20.3
D,1,female,no,20,20.4
D,2,male,no,20,16.9
D,3,male,no,20,15.5
D,4,female,no,20,21.2
D,5,male,no,20,15.8
D,6,male,no,20,14.4
D,7,male,no,20,18.5
D,8,male,no,20,15.4
D,9,male,no,20,NA
D,10,female,no,20,21.3
D,11,female,no,20,21.4
D,12,female,no,20,19.8
D,13,female,no,20,19.5
D,14,male,yes,20,15.8
D,15,male,yes,20,16.1
D,16,female,no,20,20.6
D,17,female,yes,20,19.8
D,18,female,yes,20,18.7
D,19,male,no,20,16
D,20,male,no,20,15.6
D,21,female,no,20,20.3
D,22,female,no,20,20.8
D,23,male,no,20,14.7
D,24,male,yes,20,14.8
D,25,male,yes,20,15.4
D,26,female,no,20,20.4
D,27,female,yes,20,20.8
D,28,female,yes,20,23.2
D,29,male,no,20,15.3
D,30,female,no,20,21.4
D,31,male,yes,20,16.3
D,32,male,no,20,16.4
D,33,female,yes,20,22.3
D,34,female,no,20,17.8
D,35,male,no,20,14.8
D,36,male,no,20,13.7
D,37,male,no,20,14
D,38,male,no,20,14.5
D,39,male,no,20,15.2
D,40,female,no,20,17.5
D,41,female,no,20,17.5
D,42,female,no,20,22.1
D,43,female,no,20,NA
D,44,female,no,20,17.5
D,45,male,no,20,14.9
D,46,male,no,20,15
D,47,female,no,20,NA
D,48,female,no,20,18.3
D,49,male,no,20,13.3
D,50,male,no,20,14.7
D,51,female,no,20,19
D,52,female,no,20,19.3
D,53,male,yes,20,16.9
D,54,male,no,20,NA
D,55,male,no,20,17.5
D,56,female,yes,20,22.1
D,57,female,no,20,NA
D,58,female,no,20,20.7
D,59,male,yes,20,14.7
D,60,male,no,20,13.9
D,61,male,no,20,14
D,62,female,yes,20,22.9
D,63,female,no,20,19.5
D,64,female,no,20,17.9
D,65,male,no,20,14.6
D,66,male,no,20,16.1
D,67,male,no,20,14.4
D,68,female,no,20,20.8
D,69,female,no,20,19.1
D,70,female,no,20,18.8
D,71,male,no,20,13.9
D,72,male,no,20,13.9
D,73,male,no,20,15.1
D,74,male,no,20,15
D,75,female,no,20,18.4
D,76,female,no,20,18.2
D,77,female,no,20,18.5
D,78,female,no,20,19.2
D,79,male,no,20,14.6
D,80,female,no,20,19
A,1,male,yes,25,14.6
A,2,female,yes,25,19.1
A,3,female,no,25,19.7
A,4,male,no,25,NA
A,5,male,no,25,15.1
A,6,male,no,25,NA
A,7,male,yes,25,15.2
A,8,female,no,25,NA
A,9,female,no,25,21.9
A,10,female,yes,25,23.1
A,11,male,yes,25,15.1
A,12,male,yes,25,16.7
A,13,male,yes,25,15.8
A,14,male,no,25,15.5
A,15,male,yes,25,13.4
A,16,female,yes,25,19.8
A,17,female,yes,25,21.8
A,18,female,yes,25,19.7
A,19,female,no,25,18.7
A,20,female,yes,25,23.3
A,21,male,yes,25,15.2
A,22,male,yes,25,14.4
A,23,male,no,25,15.5
A,24,male,no,25,14.2
A,25,male,no,25,15.9
A,26,female,yes,25,23.1
A,27,female,yes,25,25.8
A,28,female,no,25,19.7
A,29,female,no,25,21.8
A,30,female,no,25,21.5
A,31,male,yes,25,13.8
A,32,female,yes,25,22.8
A,33,female,yes,25,18.4
A,34,female,no,25,20.5
A,35,female,no,25,21.3
A,36,male,no,25,15.6
A,37,male,yes,25,15.1
A,38,male,no,25,16.3
A,39,male,yes,25,15.7
A,40,male,no,25,16.4
A,41,female,yes,25,23.2
A,42,female,yes,25,21.8
A,43,female,no,25,17.8
A,44,male,no,25,NA
A,45,male,no,25,14.6
A,46,male,yes,25,15.4
A,47,male,no,25,15.6
A,48,female,no,25,21.2
A,49,female,yes,25,22.5
A,50,female,no,25,NA
A,51,male,no,25,16.5
A,52,male,no,25,13.6
A,53,male,no,25,14.2
A,54,male,no,25,14.9
A,55,male,no,25,15.7
A,56,female,no,25,20.9
A,57,female,no,25,21.3
A,58,female,no,25,19.6
A,59,female,no,25,19.3
A,60,female,no,25,21.3
A,61,male,no,25,15.3
A,62,male,no,25,16.4
A,63,male,no,25,16.1
A,64,male,yes,25,15.1
A,65,male,no,25,16.2
A,66,female,no,25,20.8
A,67,female,no,25,19.9
A,68,female,no,25,21.8
A,69,female,yes,25,24.8
A,70,female,no,25,21.3
A,71,male,no,25,15
A,72,male,no,25,16.2
A,73,male,no,25,14.7
A,74,male,yes,25,15.5
A,75,male,no,25,15.4
A,76,female,no,25,21.6
A,77,female,no,25,22.9
A,78,female,no,25,19.3
A,79,female,yes,25,20.2
A,80,female,no,25,18.2
B,1,male,yes,25,14.4
B,2,female,yes,25,20.2
B,3,male,no,25,15.7
B,4,female,no,25,21.6
B,5,female,no,25,20.5
B,6,female,no,25,21.1
B,7,female,yes,25,19.1
B,8,male,no,25,16.8
B,9,male,no,25,13.8
B,10,female,no,25,20.3
B,11,female,no,25,19.3
B,12,male,no,25,17.4
B,13,male,no,25,14.8
B,14,male,yes,25,15.7
B,15,male,no,25,16.3
B,16,male,yes,25,14
B,17,male,yes,25,15.3
B,18,male,yes,25,15.8
B,19,female,no,25,22.7
B,20,female,yes,25,22.4
B,21,female,yes,25,23.6
B,22,female,yes,25,23.5
B,23,male,yes,25,NA
B,24,male,no,25,15.9
B,25,male,no,25,NA
B,26,male,yes,25,15.3
B,27,male,no,25,15.8
B,28,male,no,25,16.5
B,29,female,yes,25,22.9
B,30,female,no,25,24.2
B,31,female,no,25,21
B,32,female,yes,25,23.5
B,33,female,no,25,24.5
B,34,female,no,25,19.4
B,35,male,yes,25,17.4
B,36,male,yes,25,16.4
B,37,male,no,25,17.9
B,38,male,no,25,14.5
B,39,female,yes,25,20.4
B,40,female,yes,25,23.5
B,41,female,no,25,23.3
B,42,female,no,25,22
B,43,male,no,25,15.3
B,44,male,no,25,15.5
B,45,male,no,25,15.9
B,46,male,no,25,14.7
B,47,female,no,25,21.8
B,48,female,no,25,20.5
B,49,female,no,25,22.5
B,50,female,no,25,20.9
B,51,male,no,25,15.6
B,52,male,yes,25,14.6
B,53,male,no,25,16
B,54,female,no,25,21.1
B,55,female,yes,25,23.3
B,56,female,no,25,21.9
B,57,male,yes,25,16.6
B,58,male,no,25,14.1
B,59,male,no,25,16.3
B,60,female,yes,25,21.5
B,61,female,no,25,21
B,62,female,no,25,21.1
B,63,male,yes,25,14.3
B,64,male,no,25,14.6
B,65,male,no,25,14.9
B,66,female,yes,25,21.5
B,67,female,no,25,21
B,68,female,no,25,20.4
B,69,male,no,25,15.7
B,70,male,yes,25,15.4
B,71,male,no,25,14.2
B,72,female,no,25,20.4
B,73,female,yes,25,26.7
B,74,female,no,25,20.8
B,75,male,no,25,13.6
B,76,male,no,25,15
B,77,female,no,25,20.7
B,78,female,no,25,21.8
B,79,male,no,25,16.5
B,80,female,no,25,20.7
C,1,female,yes,25,22.1
C,2,female,yes,25,20.8
C,3,female,yes,25,NA
C,4,male,yes,25,15.2
C,5,male,yes,25,14.9
C,6,male,yes,25,13
C,7,male,no,25,12.6
C,8,female,no,25,18.9
C,9,male,yes,25,14.3
C,10,male,yes,25,14.8
C,11,male,yes,25,15.1
C,12,male,yes,25,14.7
C,13,male,no,25,15.8
C,14,male,no,25,14.8
C,15,female,yes,25,24.2
C,16,female,yes,25,19.6
C,17,female,yes,25,20.9
C,18,female,yes,25,19.9
C,19,female,no,25,17.7
C,20,female,no,25,21.1
C,21,male,no,25,15.7
C,22,female,no,25,21.3
C,23,female,no,25,20
C,24,female,yes,25,20.1
C,25,female,no,25,19.8
C,26,male,yes,25,13.9
C,27,male,no,25,14.7
C,28,male,no,25,15.1
C,29,male,no,25,15.1
C,30,male,no,25,14.8
C,31,female,yes,25,19.5
C,32,female,no,25,19.4
C,33,female,no,25,19
C,34,female,no,25,20.2
C,35,female,no,25,18.5
C,36,male,yes,25,13.4
C,37,male,no,25,13.6
C,38,male,no,25,NA
C,39,male,no,25,16.2
C,40,male,no,25,15.7
C,41,male,no,25,13.8
C,42,female,no,25,18.3
C,43,female,no,25,20.2
C,44,female,yes,25,20.5
C,45,male,yes,25,15.2
C,46,male,yes,25,13.8
C,47,male,no,25,16
C,48,female,yes,25,19.7
C,49,female,yes,25,22.6
C,50,female,no,25,17.9
C,51,male,no,25,12.9
C,52,male,no,25,14.8
C,53,male,yes,25,15.2
C,54,male,no,25,14.6
C,55,male,no,25,15.1
C,56,female,no,25,19.8
C,57,female,no,25,20.3
C,58,female,yes,25,22.5
C,59,female,no,25,20.7
C,60,female,no,25,19.1
C,61,male,no,25,16.1
C,62,male,no,25,14.6
C,63,male,no,25,NA
C,64,male,yes,25,14.9
C,65,male,no,25,14.5
C,66,female,no,25,20
C,67,female,no,25,19.9
C,68,female,yes,25,22.5
C,69,female,no,25,NA
C,70,female,no,25,20.6
C,71,male,no,25,16.4
C,72,male,no,25,13.9
C,73,male,no,25,15
C,74,male,no,25,13.8
C,75,male,yes,25,15.5
C,76,female,no,25,18.5
C,77,female,no,25,18
C,78,female,no,25,17.8
C,79,female,no,25,19.4
C,80,female,yes,25,22.8
D,1,female,no,25,20
D,2,male,no,25,15.8
D,3,male,no,25,15.6
D,4,female,no,25,21.3
D,5,male,no,25,16.9
D,6,male,no,25,14.7
D,7,male,no,25,18.1
D,8,male,no,25,15.5
D,9,male,no,25,NA
D,10,female,no,25,22
D,11,female,no,25,21.8
D,12,female,no,25,20.1
D,13,female,no,25,19.5
D,14,male,yes,25,14.9
D,15,male,yes,25,15.3
D,16,female,no,25,20.2
D,17,female,yes,25,20.1
D,18,female,yes,25,18.8
D,19,male,no,25,15.7
D,20,male,no,25,15.6
D,21,female,no,25,20.7
D,22,female,no,25,20.9
D,23,male,no,25,15.3
D,24,male,yes,25,15.4
D,25,male,yes,25,15.6
D,26,female,no,25,20.1
D,27,female,yes,25,22.8
D,28,female,yes,25,22.2
D,29,male,no,25,15.8
D,30,female,no,25,20.4
D,31,male,yes,25,15.9
D,32,male,no,25,16
D,33,female,yes,25,22.5
D,34,female,no,25,17.6
D,35,male,no,25,14.9
D,36,male,no,25,13.2
D,37,male,no,25,14.1
D,38,male,no,25,14.4
D,39,male,no,25,15
D,40,female,no,25,16.7
D,41,female,no,25,18.6
D,42,female,no,25,22.2
D,43,female,no,25,NA
D,44,female,no,25,18.4
D,45,male,no,25,14.8
D,46,male,no,25,14.7
D,47,female,no,25,NA
D,48,female,no,25,19.6
D,49,male,no,25,13.6
D,50,male,no,25,15.1
D,51,female,no,25,NA
D,52,female,no,25,21.2
D,53,male,yes,25,17.2
D,54,male,no,25,NA
D,55,male,no,25,17.3
D,56,female,yes,25,NA
D,57,female,no,25,NA
D,58,female,no,25,21.2
D,59,male,yes,25,15.4
D,60,male,no,25,14.3
D,61,male,no,25,15
D,62,female,yes,25,22.8
D,63,female,no,25,19.9
D,64,female,no,25,21.1
D,65,male,no,25,15.2
D,66,male,no,25,14.7
D,67,male,no,25,14.5
D,68,female,no,25,21.3
D,69,female,no,25,18.6
D,70,female,no,25,18
D,71,male,no,25,14.2
D,72,male,no,25,14.1
D,73,male,no,25,15.1
D,74,male,no,25,14.9
D,75,female,no,25,19
D,76,female,no,25,18
D,77,female,no,25,18.8
D,78,female,no,25,19.1
D,79,male,no,25,14.2
D,80,female,no,25,NA
A,1,male,yes,30,14.9
A,2,female,yes,30,NA
A,3,female,no,30,20.9
A,4,male,no,30,13.9
A,5,male,no,30,14.4
A,6,male,no,30,NA
A,7,male,yes,30,15
A,8,female,no,30,23.8
A,9,female,no,30,21.2
A,10,female,yes,30,22.4
A,11,male,yes,30,15.7
A,12,male,yes,30,17.3
A,13,male,yes,30,16.3
A,14,male,no,30,16.2
A,15,male,yes,30,13.7
A,16,female,yes,30,22
A,17,female,yes,30,22.5
A,18,female,yes,30,20.8
A,19,female,no,30,18.3
A,20,female,yes,30,23.1
A,21,male,yes,30,14.4
A,22,male,yes,30,14.2
A,23,male,no,30,14.2
A,24,male,no,30,12.8
A,25,male,no,30,14.3
A,26,female,yes,30,24.3
A,27,female,yes,30,25.5
A,28,female,no,30,18.7
A,29,female,no,30,19.9
A,30,female,no,30,19.4
A,31,male,yes,30,13.6
A,32,female,yes,30,22.7
A,33,female,yes,30,18.3
A,34,female,no,30,22.3
A,35,female,no,30,20.3
A,36,male,no,30,15.2
A,37,male,yes,30,15.4
A,38,male,no,30,16.7
A,39,male,yes,30,15.5
A,40,male,no,30,16.1
A,41,female,yes,30,23.7
A,42,female,yes,30,22.8
